Station_Name,美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,其他,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,行政地标,门址
4号线楚河汉街站,38,72,64,133,55,126,54,73,85,0,64,104,78,123,97,121,30,119,100,26,48,137
2号线中南路站,48,95,76,114,69,139,72,84,78,0,63,98,71,129,90,119,61,124,80,26,79,149
3号线宏图大道站,59,101,81,83,56,24,70,54,74,0,24,90,112,121,47,131,103,106,82,13,87,15
2号线杨家湾站,23,2,54,41,2,5,21,1,14,0,2,11,16,70,1,19,105,42,25,0,17,0
2号线洪山广场站,64,94,82,108,81,136,77,75,102,0,66,99,76,116,96,118,102,131,119,26,67,147
2号线珞雄路站,83,42,87,91,92,26,85,22,104,0,24,82,104,103,65,120,93,126,100,13,73,7
2号线汉口火车站,56,103,63,142,64,83,73,57,89,0,55,103,90,116,108,130,74,119,68,12,82,53
2号线街道口站,53,101,65,107,59,127,53,82,79,0,53,97,77,116,98,139,37,127,72,17,70,146
2号线宝通寺站,79,66,96,111,74,19,80,40,92,0,24,61,87,99,39,71,94,105,68,8,126,124
2号线中山公园站,78,114,87,108,67,132,107,88,103,5,109,100,54,134,110,134,100,132,100,14,104,149
2号线光谷广场站,77,39,79,97,52,8,52,35,97,0,28,74,65,100,66,78,100,97,69,7,22,3
4号线王家湾站,43,80,63,140,68,18,55,63,71,0,35,95,93,117,105,118,80,110,100,12,84,55
2号线江汉路站,58,82,88,127,74,124,81,73,89,0,54,102,73,131,90,131,63,121,120,62,106,140
4号线武汉火车站,55,82,68,86,78,123,75,76,84,0,70,92,88,94,102,114,67,117,110,20,80,37
