date,day_of_week,passenger_flow,ranks
10月31日,周一,148.65,"['4号线楚河汉街站', '2号线中南路站', '3号线宏图大道站', '2号线杨家湾站', '2号线洪山广场站']"
10月30日,周日,74.64,"['2号线珞雄路站', '3号线宏图大道站', '2号线中南路站', '2号线汉口火车站', '4号线楚河汉街站']"
10月29日,周六,93.98,"['2号线珞雄路站', '2号线杨家湾站', '4号线楚河汉街站', '2号线街道口站', '2号线中南路站']"
10月31日,周一,148.65,"['4号线楚河汉街站', '2号线中南路站', '3号线宏图大道站', '2号线杨家湾站', '2号线洪山广场站']"
10月30日,周日,74.64,"['2号线珞雄路站', '3号线宏图大道站', '2号线中南路站', '2号线汉口火车站', '4号线楚河汉街站']"
10月29日,周六,93.98,"['2号线珞雄路站', '2号线杨家湾站', '4号线楚河汉街站', '2号线街道口站', '2号线中南路站']"
10月28日,周五,144.54,"['4号线楚河汉街站', '2号线中南路站', '2号线杨家湾站', '2号线珞雄路站', '2号线汉口火车站']"
10月27日,周四,144,"['4号线楚河汉街站', '2号线中南路站', '2号线杨家湾站', '2号线珞雄路站', '2号线洪山广场站']"
10月26日,周三,160.19,"['4号线楚河汉街站', '2号线中南路站', '2号线杨家湾站', '2号线珞雄路站', '2号线宝通寺站']"
10月25日,周二,193.82,"['4号线楚河汉街站', '2号线中南路站', '2号线杨家湾站', '2号线珞雄路站', '2号线洪山广场站']"
10月24日,周一,199,"['4号线楚河汉街站', '2号线中南路站', '2号线杨家湾站', '2号线珞雄路站', '2号线中山公园站']"
10月23日,周日,126.16,"['2号线珞雄路站', '2号线街道口站', '4号线楚河汉街站', '2号线中南路站', '2号线光谷广场站']"
10月22日,周六,146.32,"['2号线街道口站', '2号线珞雄路站', '4号线楚河汉街站', '2号线中南路站', '2号线光谷广场站']"
10月21日,周五,216.76,"['4号线楚河汉街站', '2号线街道口站', '2号线中南路站', '4号线王家湾站', '2号线珞雄路站']"
10月20日,周四,240.13,"['4号线楚河汉街站', '2号线中南路站', '2号线江汉路站', '2号线街道口站', '4号线王家湾站']"
10月19日,周三,252.06,"['4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '2号线街道口站', '2号线中山公园站']"
10月18日,周二,252.94,"['4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '2号线街道口站', '2号线中山公园站']"
10月17日,周一,255.17,"['4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '2号线中山公园站', '2号线街道口站']"
10月16日,周日,188.26,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '4号线王家湾站', '6号线江汉路站']"
10月15日,周六,214.2,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '4号线王家湾站', '6号线江汉路站']"
10月14日,周五,270.76,"['4号线楚河汉街站', '2号线江汉路站', '2号线街道口站', '2号线中南路站', '4号线王家湾站']"
10月13日,周四,263.28,"['4号线楚河汉街站', '2号线江汉路站', '2号线中山公园站', '2号线中南路站', '2号线街道口站']"
10月12日,周三,263.05,"['4号线楚河汉街站', '2号线江汉路站', '2号线中山公园站', '2号线中南路站', '2号线街道口站']"
10月11日,周二,259.19,"['4号线楚河汉街站', '2号线江汉路站', '2号线中山公园站', '2号线中南路站', '2号线街道口站']"
10月10日,周一,258.32,"['4号线楚河汉街站', '2号线中山公园站', '2号线江汉路站', '2号线中南路站', '4号线王家湾站']"
10月9日,周日,243.61,"['4号线楚河汉街站', '2号线江汉路站', '2号线街道口站', '2号线中南路站', '4号线王家湾站']"
10月8日,周六,245.57,"['4号线楚河汉街站', '2号线汉口火车站', '2号线中南路站', '2号线街道口站', '4号线王家湾站']"
10月7日,周五,204.97,"['2号线汉口火车站', '2号线江汉路站', '4号线武汉火车站', '4号线王家湾站', '2号线街道口站']"
10月6日,周四,198.49,"['2号线汉口火车站', '2号线江汉路站', '2号线街道口站', '4号线王家湾站', '2号线中山公园站']"
10月5日,周三,200.95,"['2号线汉口火车站', '2号线江汉路站', '2号线街道口站', '4号线王家湾站', '2号线中山公园站']"
10月4日,周二,217.76,"['2号线江汉路站', '2号线汉口火车站', '6号线江汉路站', '2号线中山公园站', '2号线街道口站']"
10月3日,周一,197.1,"['2号线江汉路站', '2号线汉口火车站', '2号线街道口站', '2号线中山公园站', '6号线江汉路站']"
10月2日,周日,215.98,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '2号线汉口火车站', '6号线江汉路站']"
10月1日,周六,261.59,"['2号线江汉路站', '2号线汉口火车站', '2号线珞雄路站', '2号线街道口站', '6号线江汉路站']"
9月30日,周五,347.68,"['2号线汉口火车站', '2号线江汉路站', '2号线街道口站', '4号线楚河汉街站', '2号线中山公园站']"
9月29日,周四,297.42,"['2号线汉口火车站', '4号线楚河汉街站', '2号线中山公园站', '2号线江汉路站', '2号线街道口站']"
9月28日,周三,301.23,"['4号线楚河汉街站', '2号线中山公园站', '2号线汉口火车站', '2号线江汉路站', '2号线街道口站']"
9月27日,周二,307.16,"['2号线中山公园站', '4号线楚河汉街站', '2号线江汉路站', '2号线汉口火车站', '2号线中南路站']"
9月26日,周一,311.2,"['2号线中山公园站', '4号线楚河汉街站', '2号线江汉路站', '2号线汉口火车站', '2号线中南路站']"
9月25日,周日,231.81,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '4号线王家湾站', '2号线汉口火车站']"
9月24日,周六,260.15,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '2号线中山公园站', '6号线江汉路站']"
9月23日,周五,320.14,"['2号线江汉路站', '2号线中山公园站', '4号线楚河汉街站', '2号线汉口火车站', '2号线街道口站']"
9月22日,周四,300.52,"['2号线中山公园站', '4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '4号线王家湾站']"
9月21日,周三,302.38,"['4号线楚河汉街站', '2号线中山公园站', '2号线江汉路站', '2号线中南路站', '4号线王家湾站']"
9月20日,周二,301.18,"['2号线中山公园站', '4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '4号线王家湾站']"
9月19日,周一,298.12,"['2号线中山公园站', '4号线楚河汉街站', '2号线江汉路站', '2号线中南路站', '2号线汉口火车站']"
9月18日,周日,214.08,"['2号线江汉路站', '2号线街道口站', '4号线王家湾站', '2号线珞雄路站', '2号线汉口火车站']"
9月17日,周六,241.21,"['2号线江汉路站', '2号线街道口站', '4号线王家湾站', '2号线珞雄路站', '2号线中山公园站']"
9月16日,周五,307.21,"['4号线楚河汉街站', '2号线中山公园站', '2号线江汉路站', '2号线汉口火车站', '2号线中南路站']"
9月15日,周四,291.37,"['4号线楚河汉街站', '2号线中山公园站', '2号线中南路站', '2号线江汉路站', '4号线王家湾站']"
9月14日,周三,289.53,"['4号线楚河汉街站', '2号线中山公园站', '2号线中南路站', '2号线江汉路站', '2号线汉口火车站']"
9月13日,周二,290.35,"['4号线楚河汉街站', '2号线汉口火车站', '2号线中山公园站', '2号线江汉路站', '2号线中南路站']"
9月12日,周一,202.98,"['2号线汉口火车站', '2号线江汉路站', '2号线中山公园站', '4号线王家湾站', '2号线街道口站']"
9月11日,周日,194.16,"['2号线江汉路站', '2号线街道口站', '2号线珞雄路站', '4号线王家湾站', '6号线江汉路站']"
